X,group,X2.HBA,X3.HBA,X4.HBA,X2.HBA.G,X3.HBA.G,X4.HBA.G,X2.HBA.S,X3.HBA.S,X4.HBA.S,X2.6.DHBA,X3.4.DHBA,X3.5.DHBA,X3.4.DHBA.3G,X3.4.DHBA.4G,X3.5.DHBA.G,XDHBA.G1,XDHBA.G2,X3.4.DHBA.3S,X3.4.DHBA.4S,X3.5.DHBA.S,XDHBA.S,XHA,X4.HHA,X3.HHA,XVA,XVA.G,XVA.S,XiVA,XiVA.G,XiVA.S,XSYR,XSYR.G,XSYR.S,XGA,XGA.3G,XGA.4G,XGA.3S,XGA.4S,X4.MeGA,X3.MeGA,XMeGA.G1,XMeGA.G2,XMeGA.G3,XMeGA.S1,XMeGA.S2,XMeGA.S3,XEtGA,XEtGA.G,XEtGA.S,XPAA,X2.HPAA,X3.HPAA,X4.HPAA,X2.HPAA.G,X3.HPAA.G,X4.HPAA.G,X2.HPAA.S,X3.HPAA.S,X4.HPAA.S,X3.4.DHPAA,X3.4.DHPAA.G,X3.4.DHPAA.S,XHVA,XHVA.G,XHVA.S,XoCOU,XmCOU,XpCOU,XoCOU.G,XmCOU.G,XpCOU.G,XoCOU.S,XmCOU.S,XpCOU.S,XCA,XCA.3G,XCA.4G,XCA.3S,XCA.4S,XFA,XiFA,XFA.G,XiFA.G,XFA.S,XiFA.S,XSIN,XSIN.G,XSIN.S,X3.HPPA,X4.HPPA,XHPPA.G,XHPPA.S,X3.5.DHPPA,X3.5.DHPPA.G,X3.5.DHPPA.S,XDHCA,XDHCA.3G,XDHCA.4G,XDHCA.3S,XDHCA.4S,XDHFA,XDHiFA,XDHFA.G,XDHiFA.G,XDHFA.S,XDHiFA.S,X3.HPHPA,XPYR,XPYR.G,XPYR.S1,XPYR.S2,X1.MePYR,X2.MePYR,XMePYR.G1,XMePYR.G2,XMePYR.S1,XMePYR.S2,XMePYR.S3,XCAT,XCAT.G,XCAT.S,X4.MeCAT,XMeCAT.G,XMeCAT.S,X3.Hbald,X4.Hbald,X3.4.DHbald,XTHbald,XVANILLIN,XVANILLIN.G,XVANILLIN.S,XCATECHIN,XEC,XEC.G1,XEC.G2,XEC.G3,XEC.G4,XEC.S1,XEC.S2,XEC.S3,XEC.S4,XEC.S5,X4.MeEC,X3.MeEC,XMeEC.G1,XMeEC.G2,XMeEC.G3,XMeEC.G4,XMeEC.G5,XMeEC.S1,XMeEC.S2,XMeEC.S3,XMeEC.S4,XMeEC.S5,XMeEC.S6,XDHPVA,XDHPVA.G1,XDHPVA.G2,XDHPVA.S1,XDHPVA.S2,XDHPV,XDHPV.3G,XDHPV.4G,XDHPV.3S,XDHPV.4S,XTHPV,XTHPV.G1,XTHPV.G2,XTHPV.S1,XTHPV.S2,XMHPV,XMHPV.G,XMHPV.S,XNAR.7G,XNAR.G,XNAR.S1,XNAR.S2,XHES.3.G,XHES.7G,XHES.7S,XHES.S,XUMB.G,XUMB.S,X4.MeUMB.G,X4.MeUMB.S,XD,XD.4G,XD.7G,XD.diG,XD.7G.4S,XD.4G.7S,XD.4S,XD.7S,XG,XG.4G,XG.7G,XG.diG,XG.4G.7S,XG.7G.4S,XG.4S,XG.7S,XEQ,XEQ.7G,XEQ.4S,XAPI.7G,XLUT.3G,XLUT.7G,XQ.3G,XQ.3.G,XQ.3.S,XiR.G,XiR.S,XK.3G,XK.3S,XPHLORETIN,XPHLORETIN.G,XURO.A,XURO.A.G,XURO.A.S,XURO.B,XURO.B.G,XURO.B.S,XURO.C,XURO.C.G,XURO.C.S,XTYR,XTYR.G,XTYR.S,XHTYR,XHTYR.3G,XHTYR.4G,XHTYR.3S,XHTYR.4S,XHvalc,XHvalc.G,XHvalc.S,XtRSV,XcRSV,XtRSV.3G,XtRSV.4G,XcRSV.3G,XcRSV.4G,XtRSV.3S,XtRSV.4S,XcRSV.3S,XcRSV.4S,XDHRSV,XDHRSV.G1,XDHRSV.G2,XDHRSV.S1,XDHRSV.S2,XPICEID,XPICEID.G1,XPICEID.G2,XPICEID.S1,XPICEID.S2,XEL,XEL.G,XEL.S,XED,XED.G,XED.S,X2.HPA,X2.HPA.G,XHPYR.G,XCYA.3G,XDEL.3G,XMAL.3G,XPEL.3G,XPEO.3G,XPET.3G,XSFN,XSFN.CYS,XSFN.NAC.CYS,XSFN.CYSGLY,XSFN.GSH,XVIT.B12,XPHIP.G,XSA.CYS,XNAC.SA.CYS,X2.FG,XTHEO,XCARNO,XANS,X1.MeHis,X3.MeHis,XL.CAR,XTRIGO,XN.MePYR,XPRO.B,X4.HPB,X2.APh,X2.APh.G,XFOLIN
X101_M00,1,27.96,NA,68.26,118.5,49.92,113.62,50.08,6642,6650,1.21,66.34,1000.8,21.12,31.02,131.62,24.24,26.24,2108,1056.6,3294,70.38,113580,6150,16222,4.74,41957923051.86,4690267609.26,2696,189805630.9,2696304316,58.1,1035256929.44,326400142.72,5.2,0,8.15,216697901.05,1328623651.62,51.02,14.77,205962917.84,281476974.68,859397616.89,456350362.16,103912211,2186850120.62,0.42,52638768.64,0,43.04,946.4,2666,10044,209.8,46.34,207.8,39002832685.4,2318944651.56,7402459922.44,723.6,3363054817.12,114468852384.81,5834,1100.6,3146,105,75.34,29.52,162.94,19.49,55.86,89.1,40.54,21.84,25.5,52.32,25.98,253229573.07,364435798.75,32.54,1.63,782.2,476.8,355.6,52.1,77.74,400175452.19,1456032.22,157.84,20.24,251.6,158647171917.28,2252,2184,38380,125.56,214.2,1978.2,4996,100100,442.2,118.06,374.4,317.6,0,0,15376,9.03,8427300741.19,10514559015.69,7807976538.58,0,0,1169447449.36,7995305911.53,514593276.22,11518392769.85,2654163854.65,4.56,32246543219.55,69925757415.03,0,4018912558.12,16619786831.13,0,51.5,0,0,64.28,2207595654.2,1527334770.19,0,0,1233.8,40.74,60.48,3436,228.6,0,1629,62.74,3754,0,0,1442775549.05,1117551657.93,949862496.38,379380866.03,317184970.11,4456107223.05,3431744418,18838470637.04,7224725081.54,2199928792.98,985400902.96,47.52,18615124939107.7,14335909775619,2114399.93,111603827.47,0.75,787.8,117.24,178.08,86.94,2.84,78696599300030.4,30180862647982.9,55471800.65,73532656.76,16.81,9190072699927.48,102795163.21,152.44,97.62,21964912.35,115321637.5,159.98,35.06,2.67,60.48,255.2,32.32,0.98,0,0.54,168.34,149.04,122.12,87.7,0,0,0,0.05,0,0,195.34,0,42.36,0,0.2,0,45.78,0.04,0,84.38,0,15.16,0,0,0,0,22.06,25432748.61,0,170251947.05,4.8,11296260334.62,587868295.71,0.47,35.2,34971304.88,4.87,50771194.98,50771194.98,113.52,0,13.05,0,82.84,28.46,344,17.09,145.18,4984433102.15,1994229041.72,0,0,146.8,0,19.23,6.02,3.73,0,4.21,0.07,0.07,21038782.92,0,3699183.1,54339259.98,0,0,4341940.03,127342.64,266890.93,1.25,8884,7.41,0.05,102237288.2,43562775.31,0,17909077022.3,0.66,0.04,0,0,0,0,0,0.03,1.43,20.28,0,0,0,1.12,0,15.12,100.56,1655.8,100.16,53.08,7348,9332,16286,47740,67.94,234200,4224,0,0,12.46
X102_M00,1,40.18,NA,106.11,1025.36,216.04,794.64,153.32,7282.14,45892.86,3.47,281.39,1463.57,183.71,178.93,349.57,192.29,16.21,19607.14,27621.43,11128.57,1046.07,500714.29,47607.14,102428.57,812.14,624120764229.95,110123156844.61,7610.71,788427060.18,1813361316.39,233.07,17861091117.38,2636226016.14,7.91,0,163.79,1774206416.18,4660656716.13,253.82,31.39,561860592.98,2357384660.05,5661124646.79,3378333734.21,494452974.58,8595724187.36,0.53,400287723.62,0,100.39,2439.29,34560.71,28592.86,1290.36,107392.86,762.5,84431715632.66,19516878995.54,13878669509.85,3327.14,2679149002.85,247402369412.28,27139.29,4460.71,36928.57,50.11,225.18,36,1162.14,97.18,426.43,213.14,406.79,577.86,20.09,358.93,134.18,2094219012.5,855475265.98,75.86,0,4789.29,1906.43,4117.86,611.07,80.86,2423103949.96,384519179.26,707.14,3578.57,3329.64,53471613646.43,5089.29,23528.57,232678.57,256,995.71,11167.86,43785.71,877500,1031.07,113.57,4467.86,1234.64,1565.36,0,58392.86,162.46,12804346239.73,58885299146.24,6258666081,0,0,6465951909.6,42002871917.66,382310893.2,139917588724.13,5154987331.3,13.34,14787562098.65,255424544347.44,0,9278291703.42,44942483899.12,0,53.43,0,0,115.61,12312338630.01,54156121355.09,0,0,1757.14,289.96,9.62,17803.57,225.18,7660.71,12267.86,339.11,11185.71,0,0,9104234043.17,3195926146.29,3175778463.78,1362738883.65,843432366.89,16997455879.18,6787002586.66,92843246334.14,16338568324.66,10113693596.23,4415468150.9,211.36,71005868799887,28352302758634.9,9176141.48,1834155880.67,10.02,11775,4357.14,4278.57,7367.86,15.81,387847182249820,68253404926286.3,7312146.78,23649728.75,186.61,42249358120450.7,651477032.95,786.43,791.79,47149122.93,167293233.21,125.71,12.99,1.66,30.09,521.43,29.75,1.94,0,0.4,95.04,163.89,55.11,109.25,0,1.43,0,0,0,0,68.96,11.69,65.43,0,0,0,51.5,0,0,154.64,0,198.96,0,0,0,0,135.96,159670008.48,0,74274663.98,5.75,12852757278.01,687349522.44,0.37,282.18,44003355.05,7.23,226657120.36,226657120.36,267.93,0,2.54,8.66,124.82,52.57,401.79,8.27,1302.14,106314793384.79,9767867945.03,0,0,975,0,107.68,10.48,3.36,0,12.22,0.13,0,185542328.24,0,0,61646186.61,0,0,9289410.71,301194.5,1522104.78,0.7,6792.86,15.17,0.39,2038135593.34,623328351.13,0,32071607202.99,4.41,0.08,0,0,0,0,0,0,4.11,53.07,0,0,0,1.95,0,13.46,189.68,1239.64,4707.14,2662.14,21303.57,93142.86,76535.71,150000,0,151142.86,427.14,0,0,23.7
X103_M00,2,14.89,NA,NA,774.11,237.82,767.87,131.59,12094.71,52801.43,2.06,429.44,1019.89,464.27,376.87,386.4,219.16,113.52,38672.86,32446.43,8618.43,1482.19,397242.86,47150,161788.57,0,324955840845.43,75422126532.32,3827.86,1146146959.2,812194989.77,214.29,7630734365.26,2390431130.04,23.22,0,103.24,116566585.44,10311442970.97,470.84,32.21,927367575.41,2164323299.59,3207646695.58,3282551059.54,582551500.03,11735457748.03,30.71,3609999585.3,2857598033.18,0,2196.83,20026.43,30383,1482.51,328.24,892.73,78093538467.15,732186564.05,3657896837.02,4642.71,11972323833.86,227523438174.9,28437.86,7875.86,52341.43,13.58,157.81,22.1,1265.99,80.34,565.47,179.66,640.71,692.96,32.43,338.76,258.98,1416564759.99,874613676.05,81.19,0,3660.29,3686.57,3040.93,1694.44,41.79,2480391859.73,15277933.97,1110.57,439.63,3995.43,17963169322.3,9607.43,10898.71,259965.71,550.03,2777.74,9620.57,65024.29,1303114.29,719.24,75.31,3001.5,1598.5,948.91,0,104847.14,322.82,12363969054.11,50240141897.68,4982363164.96,0,0,13274851290.57,33669113388.49,3585928120.74,50921192443.23,10637896951.48,13.79,7409999099.37,137729808674.8,0,2872352620.81,21236394284.3,0,141.09,0,0.17,181.14,14987645189.19,38510312666.89,0,0,1788.09,279.12,904.56,23828,1170.04,1991.14,8155.14,705.44,23532.29,0,0,1995154489.43,1487966803.7,2824402880.14,1538013647.06,634621784.71,14378677343.12,8291477860.36,88001574708.53,17579119968.12,11674197350.08,3035545660.71,571.39,60066076017416.5,34637159425169.5,9497748.97,1916525303.68,29.67,7954.71,4669,4908.86,8349,12.46,367621384773786,73435736203451.7,28129223.22,141036465.54,170,48768270456237.1,396691810.71,2142.94,5812.43,75946115.4,288412698.53,4784,398.56,11.71,728.44,513.23,0,1.23,0.01,0.8,146.48,132.22,70.05,93.02,0,4.66,0,0.24,0,0,149.89,11.19,69.92,0,0.32,0,129.29,0.49,0,196.78,0,114.28,0,0,0,0,112.27,104527986.75,0,0,19.78,16752558303.75,1542212822.82,0.36,236.97,112950798.33,8.72,163045563.44,163045563.44,279.06,279.94,4.84,12.65,154.86,78.76,0,1.15,320.09,55635508192.27,6277495705.76,0,0,812.23,0,1464.77,327.09,25.01,0,199.18,0.15,0.3,83470090.27,0,23462621.01,302519393.17,0,12536769.39,232874050.93,391885.79,9127685.88,1.83,8914.14,6.48,0.76,511234866.94,136331812.43,0,80470577991.88,0,0,0,0.06,0.07,0,0,0,0.93,0.24,0,0,0,0,0,47.28,92.43,1649.1,349.27,124.56,21317.71,15308.14,26939.57,253164.29,892.4,482342.86,17946.57,0,70.68,22.06
X104_M00,2,52.28,NA,164.92,817.6,341.08,767.2,278.88,8236,73600,3.27,818.4,1930,330.76,459.2,273.8,175.12,37,27460,47480,9492,873.2,578400,79520,307040,196.28,560572818398.22,117376602108.79,12040,10701226310.19,5248714373.72,640,16691327845.98,4114690576.35,88.68,0,244.16,806493057.5,25825593307.26,2008.8,55.08,2980764381.86,4541048069.8,6061533808.87,14560728516.47,1220360352.73,30306871636.44,48.12,17480483755.29,6794549834.06,1,3918.4,14436,51120,5648,126.04,870.4,126084695342.31,2113027439.26,10834413526.12,7584,4911800195.36,208345983169.7,42360,9480,87200,26.28,485.2,52.68,1770.8,139.2,806.8,692.4,1652.4,2539.6,61.64,791.2,290.72,2972762648.09,1535564204.51,242.8,9.02,9896,9776,9904,7232,363.52,4274262040.78,10963426.3,3085.6,136.92,9820,144251371216.97,12152,12580,108200,555.2,4188,17684,142360,2854000,5560,136.28,27908,4164,2193.6,0,228720,1004.4,47621477343.4,100451896492.46,14286644214.99,0,0,9558310855.32,44900250069.9,432779112.43,173495362836.62,7605839366.44,14.19,4585268012.99,231327150448.7,0,4571661876.63,42702334170.83,0,83.36,0,1.48,222.84,12092453753.76,22646215410.1,0,0,3317.6,1004,368.88,22016,1076.4,16036,44040,2424.4,36208,0,0,9336436085.06,4961568304.22,2591636705.61,1002468099.73,312248792.2,39565690828.99,17034869635.77,133296177620.64,16647830792.55,16425928522.44,3351240346.74,345.96,165283338397730,71162162559986.3,16536174.79,1215678000.48,4.05,15952,4604,6364,3388.8,12.65,556836915296709,69545330634234.9,40969387.79,39958557.46,71.84,68618346996804,285714101.56,1862.8,1664.8,314269005.99,145380117.1,443.6,57.16,2.43,97.56,1160.4,142.16,6.55,0,0.05,93.08,24.96,68.92,273.84,0,0,0,0.13,0,0,404.4,13.84,162.92,0,0.43,0,501.6,0.05,0,198.72,0,70.68,0,0,0,0,229,180584795.46,0,0,1.62,1958459180.23,138199457.14,0.58,533.6,231048602.07,1.83,78073933.95,78073933.95,478,1044,80.48,27.07,826.8,412.4,2306.4,27.52,1434.8,118694272210.89,14783800130.41,0,0,1228.4,0,974.4,119.76,57.48,0,195.6,0.16,0,213656291.39,0,122229697.28,499183085.08,0,11948933.41,179079066.78,1292071.14,17061028.37,0.67,7528,6.98,0.2,1811525423.86,294162995.56,0,24790380518.73,1.08,0,0,0.11,0,0,0,0,1.17,3.44,0,0,0,2.75,0,51.28,512.4,1324,1767.2,327.6,30208,32616,107560,433200,3959.6,209920,611.2,0,0,30.15
X105_M00,2,7.82,NA,47.35,42.94,21.7,35.38,5.59,287.74,1185.94,0,20.94,30.14,9.72,11.85,18.24,11.72,8.72,306.26,293.27,99.18,16.51,24698.57,8076.86,4732.71,2.53,73374734880.93,3794843984.98,1816.71,34834157.14,557002927.45,33.87,2242461368.44,639815541.39,2.73,0,4.84,1656472.65,1526967692.93,16.57,9.69,22741703.44,117535169.58,429905334.24,99573358.55,81799481.03,632547413.04,0.21,72543807.05,0,0,274.24,274.5,1829.57,18.39,13.13,14.94,4558464086.23,469423370.06,583130404.17,140.79,230933726.17,13699151932.7,2314.29,164.83,477.26,2.49,13.2,4.3,33.75,4.02,26.41,4.48,4.89,77.82,3.7,38.64,38.65,101606448.73,70439133.55,12.58,21.24,332.87,132.04,509.79,12.34,19.79,318809820.7,297365.9,44.79,0,159.81,19586551047.64,500.66,451.03,7985.57,9.25,69.53,381.6,1784.57,35717.14,307.03,5.06,243,83.82,645.43,66.11,5171.14,1.07,1640025384.09,16113220309.58,2951300603.55,0,0,427718633.75,3779711811.24,259450157.65,28609996148.26,480357210.28,0,614244185.34,26517656168.22,0,720299158.99,0,0,5.07,0,0,3.69,562200713.74,17540416422.28,0,0,36.54,9.56,3.83,533.83,11.22,0,731.06,20.66,839.83,0,0,1476019223.66,1854090486.01,145335310.58,108253500.91,91480555.22,4911522925.67,1385212025.1,7653416673.55,1004034055.8,1091615416.89,163518387.36,14.41,20517597159614.7,5786641484093.47,4347100.61,41926559.83,1.41,236.7,52.23,491.66,0,1.89,31971696473616.5,4194293013217.72,3039504.65,2288896.82,1.14,4560158980416.32,42231577.14,461.19,879.3,8827067.71,36469924.86,976.5,98.79,0,103.06,189.39,12.44,1.39,0,0,0,0,3.57,0.14,0,0,0,0,0,0,10.63,4.11,21.59,0,0.49,0,4.69,0.03,104.08,20.96,0,40.47,0,0,0,0,69.85,22255639.14,0,0,0,155702.83,1430596.01,0,13.5,21073799.93,0.49,1481062.64,1481062.64,5.04,0,1.83,0,10.28,2.91,156.47,2.88,71.15,10418282306.29,785427097.69,0,0,13.22,0,17.09,1.69,8.89,0,1.45,0,0.08,4802845.4,0,256401.46,3615569.45,0.09,0,5767173.97,979886.05,50606.86,0,24.08,0.07,0,135108958.88,18875078.65,0,5684327935.97,1.39,0,0,0,0,0,0,0.16,0.97,21.38,0,0,0,0.57,54.42,95.68,111.56,508.5,85.58,175.37,3956.14,7074,1913.14,85680,69.27,73671.43,4082.14,0,0,7.41
X106_M00,1,19.5,NA,78.76,654,253.16,864,403.6,5388,35220,4.35,304.84,2957.2,278.72,223.92,552,219.48,44.96,29524,39064,13200,1664.8,545200,53000,279120,0,918414204863.51,190968237055.91,5588,869432171.03,4347662232.61,242.88,11997210799.19,3630931784.24,79.8,0,151.8,9435352078.81,23530137282.37,1399.2,45.6,3063081506.88,2017449927.04,4384577501.57,10380942918.91,1127171690.23,16808219788.6,1.6,1681718512.17,0,0,3463.2,12604,37724,3261.2,35800,767.2,105704170887,26325724083.6,11056170527.97,7208,4630347688.58,242137526308.04,26308,5172,75600,34.55,150.48,12.83,2998.4,51.16,451.6,739.6,981.2,763.2,39.08,246.64,248.08,5005447472.99,1292451364.04,120.44,0,7872,6676,16236,2235.2,90.04,3514227324.07,20715955.48,820,173.12,8072,157117487127.26,9348,13124,203600,379.36,3767.6,8516,119040,2386000,1106.4,100.4,11232,3982,750,0,115760,492.4,30045750690.68,68000315197.34,18719957791.41,0,0,21021480744.94,78269299511.2,1072354829.93,125667652228.53,12505096255.38,10.05,22929741370.48,275591765137.56,0,6789462104.53,25003340402.82,0,109.12,0,0.17,132.84,14303450913.48,4597764157.71,0,0,1052.8,656,176.8,34528,998.4,3454.8,27792,982,40040,0,0,4586418455.84,7054509563.66,4484874135.97,2030322270.8,830971026.18,22205708581.17,11487312882.97,209104185712.33,17421908478.99,22009608900.6,2941495224.71,289.36,92763037088025.6,47987571624215.7,25703786.96,1729138547.15,24.12,19884,5268,6660,9416,16.6,873520395153891,72778994485737.7,11463456.9,60649635.34,155.92,91943842245644.8,428880682.27,5352,3445.2,217777777.92,55871345.17,16224,1980.8,0,4300,3676.4,346.4,4.24,0,14.64,6128,6664,1989.6,3603.6,7.39,1162.4,0,6.7,3482.4,5372,3573.6,42.2,708.8,0,2.77,0,91.4,0.03,0,315.44,0,83.76,0,0,0,0,217.52,130175438.73,0.13,0,1.27,3054204696.22,271209410.57,0.2,464,98286554.86,0,73413296.92,73413296.92,144.64,310.8,24.02,13.38,133.48,41.16,585.6,15.34,1134.8,143540778454.67,6623142462.51,0,0,2074.8,0,176.6,52.2,20.99,0,8.96,0.49,0.26,29605681.35,0,211244593.97,259490629.53,0,5360337.88,5355177.1,547429.14,179586.76,0.75,5948,6.73,1.42,2976610169.63,745484581.46,1.15,119972107477.59,0,0,0,0,0,0,0,0,1.74,3.97,0,0,0,1.72,0,5.3,464,1169.2,2879.6,5684,32884,99160,72240,410000,2908.8,522800,15896,0,240.04,34.55
X107_M00,1,27.44,NA,29.62,260.74,251.07,987.69,113.27,14207.14,28440,1.39,216.23,912.09,219.5,273.6,245.47,106.23,40.63,14775.43,16858.29,2594.57,362.83,356142.86,33840,153745.71,0,302858017574.07,41727866591.68,14834.57,1670420539.24,3533191364.45,235.05,4598631162.23,1208711769.78,11.29,0,48.75,1813948639.79,8157923459.28,246.39,23.17,760971806.43,1009380981.83,2438171080.45,1826282433.36,341513934.26,7039072185.74,4.34,3444053304.76,759849782.48,0,2181.86,17182.29,14122.29,983.57,49885.71,1211.14,34818112121.02,17378507904.47,8349829972.19,2725.71,5603109810.08,142014994247.74,21389.14,4345.71,24320.57,49.35,674.74,30.5,1649.57,35.95,730.54,205.46,447.69,416.31,27.46,201.42,235.88,1639911063.1,274252363.82,123.89,0,5618.57,2728.29,2892.86,400.63,94.58,1624646202.9,45845471.1,3623.14,2401.97,3744,74062488073.52,2926.29,17796.86,48857.14,336.34,2111.14,8061.43,36308.57,738257.14,4106.57,1520.49,3844.29,1562.4,182.11,0,95091.43,146.6,19879294169.82,38314048729.51,3839333740.47,0,0,2932365390.65,33653320541.43,1565070305.32,51053095513.25,3530988901.31,0,73735540479.76,155185552625.17,0,8401303310.23,25530952683.03,0,87.02,0,0.32,91.41,7264219056.66,5541397252.66,0,0,2725.71,316.03,175.76,16665.43,279,16128,14173.71,266.4,11008.29,0,0,34833328301.95,23065066946.21,2973797944.43,705189041.17,462751977.49,50491981671.44,4156797186.61,64657603333.23,6794190446.83,4588069040.49,1273910717.27,43.38,210927273557401,17364774926228.5,10023015.78,639077462.11,19.89,4019.14,3407.14,1721.83,2658.86,5.66,270103322039903,28382329620277.5,3636218.46,6730154.95,42.56,19166387643494.4,212451071.48,817.97,1425.6,93157894.83,155338345.95,631.29,85.37,0,151.84,3417.43,2.68,3.79,0,0,5.94,13.26,15.7,12.37,0,0,0,0,0,0,40.37,0,40.55,0,0.05,0,25.66,0,0,149.4,0,44.59,0,0,0,0,83.75,98421052.72,0,0,54.41,94771008429.44,2785757669.34,136.03,127542.86,2028227075.05,10.74,207816247.22,207816247.22,78.48,336.6,2.92,14.65,727.2,374.66,730.54,8.69,794.31,60924091586.47,8899696823.71,0,0,1264.63,0,262.54,315.77,16.03,0,22.85,0.14,0.1,209343351.16,0,30100913.04,198572115.07,0,0,93756628.87,284821.87,1306102.85,1.84,11579.14,16.29,0.07,345617433.5,120783511.62,0,42706260560.23,0,0.1,0,0.17,0,0.56,0,0.08,1.02,15.54,0,0,0,0.73,0,8.6,302.91,1179,255.73,222.22,12288.86,38211.43,14628.86,350485.71,1641.6,212091.43,2977.71,0,168.66,10.34
X108_M00,2,46.29,NA,235.13,253.23,84.34,203.97,100.47,3219.43,11496.86,0,112.73,455.14,71.56,64.18,205.69,84.99,23.64,6873.43,5636.57,1903.37,193.53,92365.71,35460,71588.57,0,246878485090.64,39719220210.84,5176.29,897859256.96,487184846.13,123.51,3264743864.77,2054017121.71,5.31,0,85.06,4351626.92,2598466009.15,81.9,21.58,186328785.29,282521739.74,2661214530.19,692013917.86,174170785.12,2561905121.08,0.5,235070339.16,0,14.12,913.89,9030.86,16444.29,437.66,241.84,105.3,28212921423.2,1417434555.32,429167688.12,1089,723735015.11,67321352677.21,12417.43,1341.26,7881.43,8.3,196.43,14.45,526.37,19.44,116.51,64.49,147.86,437.91,8.78,88.41,68.58,1689938856.32,590227905.79,35.36,3.52,1987.2,1170.26,3402,335.57,176.63,784485738.09,7091941.37,216.85,26,1855.03,170755929213.21,3808.29,5947.71,44562.86,27.75,355.63,4538.57,8249.14,165265.71,402.17,48.24,1403.49,278.74,11.47,0,75908.57,34.82,4707966186.61,18196750437.2,5541397252.66,0,0,2247928138.02,13463514939.1,990227426.6,30499709519.84,3283872537.35,0,3063567419.91,85059126346.75,0,3234130057.95,83561451413.67,0,31.68,0,0,23.19,3675843556.45,9162246649.7,0,0,198.05,143.92,101.96,8053.71,41.12,16.01,1476.77,243.46,9354.86,0,0,1065127389.26,748889364.54,1639940771.35,681797581.77,626492193.28,5984726351.87,4491862242.32,30437840466.4,6847270059.61,5042563224.95,1730727134.8,73.44,25000841135563.1,18764489421950.5,3996934.59,332070904.97,15.72,2385.77,581.14,3273.43,0,3.84,127152282204538,28604066570094.9,4291342.6,49929889.72,10.71,21065010276305.4,90749163.28,2508.94,2874.86,24646616.63,134436090.31,2291.14,239.45,0,419.91,788.4,45.15,8.08,0,0,4.27,0,12.25,2.24,0,0,0,0,0,0,56.57,8.28,41.22,0,0.03,0,46.13,0,0,91.26,0,60.2,0,0,0,0,87.15,112330827.16,0,0,0.34,842527014.43,41276386.55,0.33,71.82,25679543.46,1.25,29143147.58,29143147.58,178.28,353.57,6.22,2.42,150.63,79.79,397.03,11.23,483.69,40933830016.14,1995813021.36,0,0,214.28,0,32.43,5.97,2.82,0,2.3,0.1,0,107502734.47,0,1481567.94,38540536.84,0,0,7943551.08,57940.57,247133.95,0.24,4759.71,5.34,0,178866828.17,37275802.37,0,26962017049.27,0.56,0.06,0,0,0,0.27,0,0,0.76,0.91,0,0,0,4.19,0,57.42,156.27,2415.86,770.4,338.4,14261.14,23276.57,66188.57,30934.29,32.09,264600,6384.86,0,0,16.32
X109_M00,1,16.9,NA,147.69,410.4,75.41,501.81,126.94,2260.29,19409.14,2.03,144.53,1225.41,157.29,171.45,230.62,106.65,19.24,5874.43,11903.14,3010.11,318.21,241380,18336.86,20415.86,0,264273687488.14,62301074753.45,4104,1420590026.9,2892715084.37,154.48,7895082165.71,676596676.03,13.84,0,51.11,5911631306.09,5697551889.19,489.09,0,1563272233.71,361461645.71,4998797369.84,5821770810.11,563544243.22,9950728452.83,15.37,3965581389.43,1726510853.39,0,2131.46,5396.14,23933.57,1607.27,90102.86,325.93,99006581438.15,32391230649.12,3657632841.65,2214,2568091993.86,128302265360.5,14441.14,2219.01,18699.43,18.8,24.68,7.75,271.5,33.02,128.25,229.89,105.76,19.15,6.65,169.95,96.2,2868093387.31,568365760.85,51.26,0,3623.79,1578.34,1665.13,202.73,84.05,1945975785.06,58022236.67,111.63,29.75,918.39,86927107228.05,2391.04,8813.57,69351.43,123.16,1004.01,7128,11305.29,226530,626.79,182.56,5619.86,1974.09,21.4,0,15382.29,116.49,39229406803.26,71359805635.46,21480622974.42,0,0,4719993057.66,38671798178.92,210973944.26,111004142099.39,2475128073.61,6.04,28188756041.2,175558336641.49,0,10164877271.87,0,0,218.66,0,0,67.62,7498196027.2,13115667980.53,0,0,271.2,225.53,0,11158.71,349.03,692.74,2102.14,356.4,7884,0,0,3552237912.14,1183716651.3,1674937298.65,860316125.45,424310202.03,9589163812.73,4939887354.2,33504846847.82,6070980727.87,6021218590.89,1055454941.13,100.17,40058165905926.5,20636087885831.9,5346908.55,684697383.76,8.86,11081.57,2593.93,2512.16,57.2,11.92,139964520358002,25361163700845.8,328026050.96,30992233.83,26.97,25153285310392.1,144617814.02,204.78,181.44,52432330.96,73105263.29,509.53,43.47,1.38,57.12,639.9,45.75,2.75,0,0,40.89,39.19,33.8,27.79,0,4.27,0,0,0,0,130.83,12.65,70.74,0,0.25,0,29.25,0,0,118.38,0,16.67,0,0,0,0,43.2,47684210.66,0,0,9.91,18534531861.61,1601651291.61,0.12,86.98,71970718.78,4.61,231084017.24,231084017.24,847.8,280.76,59.09,14.14,130.41,80.38,1150.97,34.91,288.59,48064176356.12,4495670654.23,0,0,410.4,0,151.59,54.62,9.37,0,25.19,0.1,0.06,41055854.04,0,20444154.62,143776343.81,0,0,122902135.3,542150.09,2526326.65,0.42,3493.03,2.81,0,116564164.78,50773678.38,0.14,59008112713.91,0,0,0,0,0,0,0,0.42,12.6,125.28,0,0,0,1.88,0,24.03,329.82,1214.23,2243.7,1148.27,30070.29,75870,119070,219664.29,1400.91,440485.71,8948.57,0,57.97,30.4
